Architect,Attribute,Keywords,Location,Materials,Principle,Program,Project,Style,Text,Year,_id
Greene and Greene,"transition spaces
detail
craftsmenship
Japanese
horizontal
modular
aysmmetrical","Spatial Organisations: Clustered
detail
craftsmenship
total design
transition spaces
Japanese
horizontal
modular
aysmmetrical","Pasadena, California, USA",Wood,American Craftsmen,Residential,Gamble House,American Craftsmen,"The essential nature of architecture by Greene & Greene begins with intense attention to detail and craftsmanship, as their bungalows mark the height of the American Arts and Crafts style. The brothers were inspired by the concept of total design, or gesamtkunstwerk, which was stressed in the German-designed rooms at the 1904 Louisiana Purchase International Exposition in St. Louis.
It was designed to be very suitable for the southern California climate, with a sleeping porch and beautiful transition spaces from the inside to outdoor patios, a garden and a pond.
The developed style of Greene and Greene is very distinguishable in the design world, as their Japanese inspirations are incorporated into stain glass windows, details carved and formed with wood, joinery and joint pieces traditional to architecture in Japan. The emphasis on the horizontal line, the use of modular units, a taste for the asymmetrical, the absence of clutter, extensive areas of unpainted wood, a preponderance of natural and subdued colors, a close relationship with the outdoors were all key elements of Japanese architecture that are incorporated into the Craftsman style.",1909,6100eb253a671e6970209eab
Frank Gehry,"skylight
undulating
angled","Structure: Steel Frame
curvilinear
undulating
angled
skylight
asymmetrical
","Los Angeles, USA","steel
glass","curvilinear
asymmetrical",Concert Hall,Walt Disney Concert Hall,Deconstructivism,"Completed October 23, 2003, The Walt Disney Concert Hall celebrates its tenth anniversary today. Home to the LA Philharmonic, it has received wide acclaim for its excellent acoustics and distinctive architecture. In the decade since its opening, the hall's sweeping, metallic surfaces have become associated with Frank Gehry’s signature style.
In 1987, Lilian Disney donated $50 million to establish a concert hall in honor of her late husband, Walt. Frank Gehry was selected from among several candidates during a design competition the following year. His proposal was largely oriented toward the public, with much of the site allocated to open gardens. Several years into the project, a combination of political and managerial impediments threatened its realization. It was shut down in 1994, but revived by a press and fund-raising campaign two years later.
The concert hall was designed as a single volume, with orchestra and audience occupying the same space. Seats are located on each side of the stage, providing some audience members with distant views of the performers’ sheet music. The former director of the Los Angeles Philharmonic felt boxes and balconies implied social hierarchies within the audience, and spatial segregation was minimized in the design. Curvilinear planes of Douglas fir provide the only partitions, delineating portions of the 2,265 member audience without creating visual obstructions. The steel roof structure spans the entire space, eliminating the need for interior columns. The organ stands at the front of the hall, a bouquet of 6,134 curved pipes extending nearly to the ceiling. It is the unique result of a collaboration between Gehry and Manuel J. Rosales, a Los Angeles-based organ designer.
Gehry worked with Yasuhisa Toyota, the acoustical consultant, to hone the hall’s sound through spatial and material means. To test the acoustics, they used a 1:10 scale model of the auditorium, complete with a model occupant in each seat. This required all elements to be scaled accordingly, including increasing the frequency of sound in the space to reduce the wavelength by a factor of ten. The concert hall's partitions and curved, billowing ceiling act as part of the acoustical system while subtly referencing the sculptural language of the exterior.
The exterior is a composition of undulating and angled forms, symbolizing musical movement and the motion of Los Angles. The design developed through paper models and sketches, characteristic of Gehry's process. The custom curvature demanded a highly specific steel structure, including box columns tilted forward at 17º on the building’s north side. Visitors can glimpse the steel frame through a skylight in the pre-concert room and view the supporting structure from a stairway leading to the garden.  
The reflective, stainless steel surface engages light as an architectural medium. The facade's individual panels and curves are articulated in daylight and colored by city lights after dark. The building was initially set to be clad in stone, but a more malleable material was chosen following the completion of the Guggenheim Museum Bilbao, the concert hall's titanium-clad cousin. Thin metal panels allowed for more adventurous curvature and could be structurally disassociated from the ground. The metallic forms appear to hover above an asymmetrical band of glazing at the building’s base. Glass fissures in the facade bring light into the lobby and pre-concert room, reading as a grand entryway through the otherwise opaque facade.
The hall’s planning committee conceived of the project as a civic amenity, hoping it would serve as a catalyst in the activation of LA's downtown. Some critics debate the effectiveness of this siting strategy, acknowledging an increase in surrounding property values but little shift in the city's cultural epicenter. Perhaps that will change as development continues on the site. The Diller Scofidio + Renfro designed Broad Museum is under construction across the street, and Gehry himself recently announced he will rejoin the effort to develop the adjacent stretch of Grand Avenue. There may be a cost to creating a cultural center beside the concert hall, however. A new subway is scheduled to run 125 feet beneath the lowest level of the concert hall, and may disrupt the acoustics of the internationally recognized performance space.",2003,6100eb253a671e6970209ede
Frank Lloyd Wright,"art glass
composition","Ordering Principles: Axis
composition
art glass","Buffalo, New York, USA","Bricks, Wood",,Concrete,Darwin D. Martin House and Estate,Priairie,"The Martin House was originally part of a larger estate that Wright designed as a series of connected buildings.
Wright was especially proud of the complex, deeming it “a well-nigh perfect composition.”
Distinguished from Wright’s other Prairie houses by its unusually large size and open plan, Wright characterized the Martin House as a “domestic symphony.” ",1905,6100eb253a671e6970209ea6
Frank Gehry,flowing shapes,"Operation: Curve
Flowing Shapes","Elciego, Spain","Titanium
Stainless Steel",,Residential,Marques de Riscal Hotel,Contemporary,"Gehry agreed to create a striking City of Wine complex that was to include a hotel and spa. Six years after clinching the deal, Gehry's creation opened in 2006, at the Marques de Riscal winery in Elciego, a small town just over an hour's drive south of Bilbao in Northern Spain.
According to Gehry, the £55million wine 'temple' reflects the essence of the drink, and earns its place on the architectural scene as 'something greater than the Guggenheim'.
Of course, what Gehry winery bosses hoped was that the City of Wine would have the 'Guggenheim effect' - doing for La Rioja region what the mesmerising art museum did for Bilbao.
According to Gehry, the building's exterior reflects the colours of wine - with huge titanium panels tinted in pink to represent the burgundy hues of rioja. The silver is meant to be the foil that covers the cork, while gold represents the zig-zagging mesh that covers all Marques de Riscal bottles.
The complex's surface is sheathed in titanium and stainless steel, the 'skin' hung over a series of giant squares of black rock with metallic wings. It has Gehry's trademark flowing shapes, using masses of glass panels that jut out at all angles.",2006,6100eb253a671e6970209eba
Frank Lloyd Wright,textile-block,"Ordering Principles: Transformation
textile-block
","Los Angeles, California","Wood
Concrete blocks
textile",,Residential,Samuel Freeman House,Modern ,"The Samuel and Harriet Freeman House is one of the three textile-block houses designed by Frank Lloyd Wright for the Hollywood Hills in 1924. The Freeman House is among Wright's most interesting and enchanting small residences; the living room has been called by several writers one of his best rooms. Placing the house in context, it marks a major transition in Wright's work and plays a clear role in the development of modern architecture in Southern California. ",1922,6100eb253a671e6970209ec8
Richard Rogers and Renzo Piano,"inside out
radical
","Circulation: Vertical
radical
inside out
constructivism
high-tech
engulf
distinguish
","Paris, France","Steel
Reinforced concrete","constructivism
high-tech
engulf
distinguish",museum,The Centre Pompidou,Contemporary,"In the 1970's architects Renzo Piano and Richard Rogers, both unknown at the time, collaborated and erected one of the most famous and radical buildings of our time, Centre Georges Pompidou. The cultural center in Paris, France turned our world inside out, literally. It all began with Georges Pompidou, President of France from 1969 to 1974, who wanted to construct a cultural center in Paris that would attract visitors and be a monumental aspect of the city.
In order to choose the architects for the project, the president held a competition and many entered, including some of the most famous architects in France at the time. People were astonished, however, when the design of Renzo Piano and Richard Rogers, both not famous at the time, won the competition. Their entry exemplified constructivism and was a high-tech modern cultural center structured with a system gerberettes and trusses unlike anything seen in the architectural world before.
Their concept, depicted in one of their competition drawings as a collage, was portraying the museum itself as movement. The other concept in their design, and perhaps the most obvious, was exposing all of the infrastructure of the building. The skeleton itself engulfs the building from its exterior, showing all of the different mechanical and structure systems not only so that they could be understood but also to maximize the interior space without interruptions.
The different systems on the exterior of the building are painted different colors to distinguish their different roles. The structure and largest ventilation components were painted white, stairs and elevator structures were painted a silver gray, ventilation was painted blue, plumbing and fire control piping painted green, the electrical elements are yellow and orange, and the elevator motor rooms and shafts, or the elements that allow for movement throughout the building, are painted red. One of the ""movement"" elements that the center is most known for is the escalator (painted red on the bottom) on the west facade, a tube that zigzags up to the top of the building providing visitors with an astonishing view of the city of Paris.",1977,6100eb253a671e6970209ed1
Richard Rogers (RSHP),"canopy
Flexible Space
Dome
Steel Masts
High-tensile Cables","Operation: Pull
Canopy
Flexible Space
Dome
Circular
Steel Masts
High-tensile Cables
Naturally Ventilated
Color-coded
Adaptable
","London, UK","PTFE
Steel","circular
 naturally-ventilated
Color-coded
Adaptable",Pavilion,The Millennium Dome,"Contemporary 
High-tech","In 1994, with the third millennium fast approaching, the British announced a national festival to mark the year 2000. Amid a new sense of optimism, the year-long festival, which became known as the Millennium Experience, would take the form of an exhibition celebrating “who we are, what we do, and where we live.” Under the project direction of Mike Davies, a partner of Richard Rogers’ practice (known today as RSHP) designed the Millennium Dome to house this exhibition.
In an extraordinary feat of architecture and engineering, the vast dome, whose canopy encompasses a volume of 2.2million cubic meters, sped from initial concept design to topping out in only two years. Although the Millennium Experience closed its doors as the year 2000, the building which housed it has since been put to a variety of uses, its durability largely due to Richard Rogers’ characteristically flexible design.
The Millennium Dome was the focal point of a larger masterplan by Richard Rogers for a peninsula in Greenwich, London, on the south bank of the River Thames. From the outset this 300-acre site presented a multitude of difficulties. Before being purchased by the government for redevelopment, the site had been owned by British Gas who had used it for the disposal of toxic waste meaning that the land had to be decontaminated at great expense before construction work could commence. A ventilation shaft from the Blackwall Tunnel, which carries road traffic beneath the Thames, stood on the proposed site of the dome and needed to be accommodated into the design. The area was also poorly connected by public transport, and the road infrastructure was unable to accommodate the anticipated numbers of visitors. Fortunately, plans were already underway for an extension to the Jubilee Line on the London Underground network, and North Greenwich station opened on the peninsula in 1999.
A dome structure was chosen as the most appropriate design solution to the brief, largely due to the strict time constraints imposed on the project. It was only in 1996—comparatively late for a project of this scale—that the Greenwich peninsula was chosen as the site for the festival, and it was essential that all construction work be completed in 1998 in order to allow sufficient time for the exhibitions to be installed by the turn of the millennium. Rather than creating separate pavilions for each of the exhibitions which would make up the Millennium Experience, it was more time-efficient and cost-effective to create a single enclosure to house them all. According to Davies, the shape of the peninsula also suggested a circular structure: “the site had an incredible 270-degree sweep of the river, so a circle made sense.”
The design of the dome features a circle of twelve steel masts, one hundred meters high, which support a network of high-tensile cables. The seventy kilometers of cabling is covered by a canopy of white PTFE fabric just one millimeter thin, with an interior lining to absorb both sound and condensation. The Dome’s specifications are astonishing: it has a circumference of one kilometer, a height of fifty meters at its peak, and covers an area of eighty thousand square meters. In keeping with the festive spirit of the exhibition it housed, the architecture of the Dome was intended to convey a sense of optimism about the new millennium.
While the Millennium Dome makes architectural references to the past, the pure-white Teflon-coated PTFE fabric gives the structure a highly futuristic appearance; just one of the building’s many apparent contradictions. As the author Elizabeth Wilhide observed, “it is soft and hard, rounded and spiky; it hugs the ground and reaches for the sky.”[3] Technically it is not even a dome, as its load does not rest on its circumference but on the steel masts; a more accurate (but less marketable) description for it would be a ‘spherical cap’.
The Greenwich Meridian Line passes just meters away from the dome, and the design of the building contains many allusions to the concept of time. Davies, who describes himself as a “keen astronomer,”[4] specified that there should be twelve masts, one for each month of the year, and twenty-four ‘scallops’ (the curved cutouts at the base of the canopy), one for each hour of the day. Furthermore, the dome has a diameter of 365 meters, representing each day of the year, and the panels of the canopy are based on the celestial lines of longitude and latitude. These time-based references are particularly appropriate given the project’s purpose of celebrating a significant calendar event.
Sustainability was a key consideration in the design of the dome, with great care taken to minimize the environmental impact of the building. Rainwater runoff from the roof is collected into pools, naturally filtered through reed beds, and recycled as grey water for the toilets. The translucent fabric of the canopy allows sunlight to enter the Dome, thereby reducing the need for interior lighting and lowering the energy demands of the building.[5] Any energy which is needed comes from renewable sources, namely household waste, sewage and wind.[6] The dome is also naturally ventilated, with openings at the center of the roof releasing the rising hot air and twelve fans drawing in cool air from outside.
By necessity, the design process of the dome was a collaborative one, as the complexity of its engineering required the architects to work closely with the project engineers Buro Happold. Glyn Trippick, Structural Engineering Partner of Buro Happold, labelled the Dome “a true collaboration between architect and engineer. It’s one of the few projects where you can’t say that either has led.”[7] The stylistic influence of both firms can indeed be seen in the final design of the dome. Richard Rogers applied his signature ‘inside-out’ treatment to the building, placing the service plants of the building in cylindrical towers around the Dome’s exterior for easy access. As at the Centre Pompidou in Paris, various components of the building are color-coded: yellow is used for structural elements such as the masts, while orange is used for pedestrian circulation and red for the interior lighting towers.[8] Buro Happold, meanwhile, had a history of engineering tensile cable structures. The firm’s founder, Ted Happold, had collaborated with Frei Otto on several similar projects, such as the aviary at Munich Zoo.
The decision to build a single expansive dome, rather than individual pavilions, disassociated the architecture from the exhibition and created a more flexible architectural space. Richard Rogers had explored the use of assisted span structures in many of his earlier works, including the Fleetguard Factory in Brittany and the unbuilt Massy Autosalon.[9] Like the dome, these buildings are largely free of internal supports, allowing the layout of the spaces to be easily modified. At the dome, this flexibility was taken a step further. The service cylinders around the perimeter of the dome feature what Davies described as a “flexible racking system”,[10] wherein the outer fins of the cylinders can be easily detached and service plants added or removed as required.
Thanks to the great degree of flexibility in its design, the dome has been successfully adapted for multiple uses since the closure of the Millennium Experience. In 2003 the Dome hosted a music festival organized by the Mayor of London as well as a Winter Wonderland festival. The following year, the charity Crisis made use of the dome as a shelter for the homeless over the Christmas period. In 2007, after a two-year period of development, the dome reopened as an entertainment center. Rebranded as The O2 (after a sponsorship deal with the telecommunication company of the same name), it has since been successfully used as a venue for concerts and sporting events, hosting gymnastics and basketball competitions during the London 2012 Olympics.
The greatest success of the Millennium Dome does not lie in its contents, but in its triumphantly exuberant and celebratory architecture. The dome’s architects and engineers created one of the iconic structures of the 20th Century, and its endurance is a testament to their foresight and prowess. In designing an adaptable building, they allowed the dome to respond to the demands of a new millennium. Tony Blair, who championed the construction of the Millennium Dome as Prime Minister of the United Kingdom, summarized its legacy: “we will celebrate the millennium with a new dynamism in our country. The Millennium Dome symbolizes this dynamism.”",1999,6100eb253a671e6970209ed3
Le Corbusier,clerestory windows,"Spatial Organisation: Grid
porous
rectilinear
clerestory
","Ahmedabad, India",Concrete,"porous
rectilinear
",Residential,Villa Shodhan,Modern,"Le Corbusier was commissioned by the president of the Mill Owners’ Association to design the organization’s headquarters in Ahmedabad, a city historically active in India’s textile trade. The building is a physical manifesto representing Le Corbusier’s proposal for a modern Indian architecture. Constructed in 1954, the Mill Owners’ Association Building is considered the first of four completed commissions in Ahmedabad.

As Le Corbusier began working predominately in warmer environments, he developed a set of architectural devices in response to climatic and cultural contexts. He took cues from India’s vernacular architecture, emulating the deep reveals, overhanging ledges, shade screens, and grand, pillared halls. He introduced brises-soleil, designed to prevent sun from penetrating the facade, and employed these in combination with thickened facades and unfinished concrete in many of his later projects. Surrounded by ample open space, the Mill Owners’ Association Building was not forced to contend with an existing urban fabric, allowing the architect to propose a distinctly modern aesthetic. 

The building sits between Ashram Road to the west and the Sabarmati River to the east. The side walls, to the north and south, are nearly blank and faced in rough stone with a brick exterior. The brises-soleil on the west facade are oriented diagonally to obstruct views from the street while permitting air and indirect sunlight to enter the space. Plants spill from the porous facade, activating the exposed concrete and supplementing the roof garden. At the rear of the building, the brises-soleil are perpendicular to the facade, allowing the breeze from the river to pass uninhibited through the shaded perimeter. Here, Le Corbusier designed the openings to frame views of the river below.

“The situation of the building in a garden dominating the river furnishes a picturesque spectacle of cloth dyers washing and drying their cotton materials on the sand bed in the company of herons, cows, buffalo, and donkeys half immersed in the water to keep cool. Such a panorama was an invitation...to frame views from each floor of the building.” - Le Corbusier

Completed just after Unité de Habitation, the Mill Owners’ Association Building signifies a shift in Le Corbusier’s architectural style, combining the repetitive rigidity of Villa Savoye with the curvilinear forms of Ronchamp. The facade stands free of the structural pilotis as described in Le Corbusier’s Five Points, but departs from his earlier work in that it extends fully to the ground, screening the cylindrical columns from view. The rectilinear plan and grid expressed on the building’s exterior stand in contrast to the interior spaces, which are characterized by convex and concave volumes. As one moves through the interstitial space, the intersection of curvilinear and orthogonal planes creates an experience of compression and release. A conference room enclosed by a curved, brick wall paneled in wood veneer extends from the second story to roof level. Its curved ceiling reflects light entering through the clerestory window and holds a reflecting pool above, which Le Corbusier had hoped to utilize as a roof reservoir.

The circulation is designed as a promenade, beginning with a ramp extending from the parking lot to a three-story void at the volumetric center of the building. As one ascends the ramp, the view penetrates the brises-soleil, visually opening the facade. The stair core projects beyond the central atrium and main facade, into the elements. 

Surottam Hutheesing, who commissioned Le Corbusier to build the headquarters, also asked him to design a private residence. It was eventually realized in the Villa Shodhan after Hutheesing's original commission fell through. The design is consistent with the architect’s proposed architectural grammar for the region, employing deep, perforated walls, brises-soleil, and exposed concrete. For his sole commission in the United States, Le Corbusier constructed an iteration of the Mill Owners’ Association Building in the Carpenter Center for Visual Arts in Cambridge, Massachusetts.",1954,6100eb253a671e6970209eda
Tay Kheng Soon,"enclosure
transitionary space","Site: Climate
tropical
interpenetration
transitionary space
enclosure
",Singapore,Glass,Interpenetration,religious,Chee Tong Temple,Vernacular,"Chee Tong Temple is designed by Tay Kheng Soon, a leading mind on the subject of tropical architecture. Tropicality was born out of the aspiration to diverge from the reckless culture of importing and applying western architectural solutions in Singapore, to devise a design language that truly addresses the climatic conditions unique to the tropics.
To Tay Kheng Soon, the greatest hallmarks of tropical architecture lies in the interpenetration of outside and inside spaces and the roof of a building being the defining architectural characteristic instead of walls.
Chee Tong Temple is a departure from the conventional architectural paradigm for its lack of walls. Walls are an insulation solution for the Mediterranean and Temperate climates where summers are extremely hot and winters freezingly cold. As Singapore’s temperature and humidity does not vary significantly, Tay Kheng Soon believes the walls to have less importance in local architecture. As a result, the temple retains the roof but removes the membrane (walls) to not only address the lack of need for walls but also to create an interpenetration of outer and inner spaces. This concept of interpenetration is vital as it has the potential to encourage discourse on what constitutes tropical design in the architecture community and also the direction for more contextualised architecture for different regions and climates.
The fluid interplay of spaces is evident when visiting the temple. Upon ascending the initial flight of stairs, one stands outside of the roof, unclosed and unshaded by the temple. As a person moves towards the centre, the person will enter a transitionary space, a mix between outer and inner spaces. At this point, the unshaded outer spaces takes a significant proportion of the person’s view compared to the temple’s interior. The shade on the ground is faint and direct sunlight is still able to hit the ground. This provides a subtle hint of enclosure and confinement. 
Moving further toward the centre, the percentage of outer space in view significantly decreases, and there is close to no trace of direct sunlight striking the ground in the immediate vicinity. The floor in the centre is also elevated to further delineate a boundary. At this point, the role of the roof now acts as a wall which divides outer and inner spaces, emboldening the concept of enclosure. 
A three tiered structure sits at the peak of the temple’s roof to filter indirect sunlight to illuminate the otherwise dark temple. The structure makes smart use of glass, openings and mirrors to achieve the desired effect. The mirrors are slanted at around 45 degrees and reflect sunlight into the interior of the temple through the glass, which is sheltered by the mirrors above it.",1987,6100eb253a671e6970209ea5
Alvar Aalto,"courtyard
inner facade
natural light
atrium
Circulation
Brick
Arc
Light","Ordering Principles: Transformation
Courtyard
Inner Facade
Circulation
Brick
Arc
Light
Daylighting
Atrium
Structural expression

","St. Benedict, near Mount Angel, Oregon ","Brick, Steel frame",structural expression,Library,Library of Mount Angel,Modernist,"Mount Angel Library Commentary
The library is located at the hilltop Mount Angel Bendictine Monestary. The simple single story inner facade in pale brick demurely continues the courtyard edge, blending with the traditional buildings on either side. Only after entering this facade and passing the circulation center is the visitor struck with the power and spirit of the plunging, uplifting arc of the central space, calmly palpable with light from above.
",1970,6100eb253a671e6970209eb7
OZ. E. TECTURE,"pitched roof
operable skin
screen
shade
void
Monsoonal Tropical Climate
Flooding
Cyclones
Wet Summers
Dry Winters
Beach
Creek
Lagoon","Site: Climate
Monsoonal Tropical Climate
Flooding
Cyclones
Wet Summers
Dry Winters
Climatic
Cultural
Beach
Creek
Lagoon
Elemental
Pitched Roof
Operable Skin
Screen
Visual Privacy
Shade
Void",Australia,"Timber 
Steel","Climatic
cultural
elemental
visual privacy",Residential,Marika-Alderton House,Vernacular,"Altitude: 3m above sea level. Monsoonal tropical climate. Subject to occasional tidal flooding 500mm deep during cyclones. Wet summers, dry winters. Summer, circa 33˚C, hot north-west winds. Winter south-east winds, temperatures rarely below 25˚C with lows of 20˚C on winter nights. Sandy soil with good drainage.
Commissioned by the aboriginal leader Banduk Marika and her partner Mark Alderton this project is in Yirrkala on land associated with the Marika clan. The project presented a rare opportunity to design a house in Australia’s extreme north and to architecturally address the inherent climatic and cultural conditions. Facing the Arafura Sea and the Gulf of Carpentaria the site has a tropical climate with cyclonic conditions, high winds and very heavy rainfall. Surrounded by a beach, estuary creek and freshwater lagoon, the building is slightly removed from a generally suburban settlement.
It was conceived by Murcutt as a prototype and as a viable alternative to the house then occupied by the clients, a brick building with small windows typical of aboriginal public housing in this context. Prefabricated in Gosford, north of Sydney, all components were packed in two shipping containers and transported to site via semi-trailer and barge. The house was bolted and screwed together on site, the entire process taking four months.
The building is elemental. A pitched roof, dry timber platform and operable skin float in relation to each other. The structural system is comprised of a steel frame and Australian hardwoods. The fine sheet metal roof is dominant, deep eaves protecting the interior from summer sun. The exterior wall is treated as finely crafted infill panels with no glazed openings. These typically plywood and slatted timber screens slide or pivot open allowing prevailing breezes to naturally cool the house.
One of the most striking aspects of the architecture is the southern façade, where vertical plywood blades of varying depths project out from the steel column line. These register the dimensions of different built-in furniture elements; a kitchen bench, timber joinery or beds, framed as floating window bays. The fins provide both visual privacy and shade from the summer sun in early morning and late afternoon. Voids under the bay structures confirm the sense of suspension above a horizontal floor plane. In this house Murcutt creates a situation from which the inhabitants can observe the horizon, changes in the weather patterns, the movement of people and animals and the playing of children; a building which is experienced as an elevated shaded platform.",1994,6100eb253a671e6970209eb9
Tadao Ando Architect & Associates,"protective shell
skylight
natural light","Site: Heritage
simple
rational
emblematic
protective shell
conservation
skylight
natural light
juxtaposition
","Venice, Italy","brick
plaster
wood","simple
rational
emblematic
conservation
juxtaposition",museum,Punta Della Dogana,"Critical regionalism
Baroque
Italian Baroque
","After 14 months of restoration, the punta della dogana museum by japanese architect, tadao ando opened to the public on june 6th during the venice art biennale.
The punta della dogana building in venice has a simple and rational structure. the volume forms a triangle that directly corresponds to the shape of the tip of dorsoduro island, whereas its interior space is dividend into long rectangles by a series of parallel walls. with great respect for this emblematic building, all partitions that had been added during previous renovations were thoroughly removed in order to recover its original form, at the very beginning of its construction.
The difficulties the architect encountered were largely due to the nature of the terrain – for example, the foundation of the church required the sinking of some 1,200,000 oak piles. the basic approach to the exterior renovation of the building consisted in carefully restoring the original façades, except the openings which were entirely replaced through this renovation.
The project conceived by architect tadao ando included restoration work at several levels: 
1. protection against water the base of punta della dogana is placed at 1.5 m above sea level. this positioning is relatively high in venice and represents a natural protection against the tides (to draw a comparison st. mark’s square is only 90 cm above sea level). in order to improve the building’s overall waterproofing, a protective shell was installed – also called a water hold-up tank – whose area is 2,500 sq. m. the hold-up tank is equipped with watertight bulkheads along the entire perimeter and mobile protections for the doors, thus ensuring protection against high water up to 2.10 m. thorough archaeological excavations were carried out before building the protective shell, using the most innovative technologies available.
2. structural consolidation and restoration of the masonry the building’s structural consolidation required the installation of micro-piles where the original foundations were insufficient (especially at the end of punta della dogana), as well as the fastening of the brick corner walls. as far as the walls are concerned, the architectural choice was to leave the masonry visible. bricks were adequately restored by eliminating all decay factors and replacing the most seriously damaged elements by adopting the traditional scuci-cuci (unstitching-stitching) method. this entails damaged bricks being replaced one by one with intact bricks, and laid with mortar of the same type as the original. over 5,000 sq. m were restored using recycled bricks selected from among those that offered the best guarantee for conservation purposes, and that featured color and shape as similar as possible to the original.the stone facing outside the complex was restored using traditional methods. it was structurally reinforced, where necessary, by inserting stainless steel bars, new tie-beams and lime-mortar injections, in order to fasten the fractures and mend the damage suffered by architectural and structural elements, as well as to eliminate the empty spaces between the facing and support.the exterior coating at the register of the gates’ arches was entirely recovered and restored. the heavy existing damage due to biological agents was inactivated by means of reiterated biocidal treatments which effectively contributed to the recovery of the surface. the rusticated façade, made of bricks covered in plaster, was selectively restored by rebuilding The plaster where the bosses were intact; otherwise, bricks, adequately restored, were left in full view.
the building’s original roofing was entirely restored. the 130 trusses constituting the structure’s original skeleton were almost entirely recovered. the recovery and consolidation treatment of the wooden surface amounts to nearly 9,000 sq. m of wood (including the floor framework). skylights permit the use of natural light in the museum’s halls. 90,000 tiles were laid on the roof, around 50% of which were original; it was also possible to recover about 50,000 out of 80,000 tavelle (thin quarries made of fired brick).
the work of restoration had to remove the unwanted accretions that had accumulated over time, with the new partition walls, stairs, walkways and service facilities all clearly identified as such. in effect, there is no attempt to disguise these new additions within the old body of the structure. instead, there is a continual play of juxtaposition – almost as if ando’s intention were to insert within the ancient building new volumes and levels that seem to mark out the stratifications
added over time, organizing them into a veritable spectacle of the structure’s own history. in the center of the building, a square space spans over two rows as a result of an earlier renovation. tadao ando inserted a ‘concrete box’ that dramatically transformed the space.
in order to create a rich materic effect with the elements in architectural concrete, and offer a token of the past, tadao ando selected the traditional venetian floor (the so-called masegni) for the centre of the cube. elsewhere, the floors were made of cement (ground floor) and linoleum (first floor). the floor heating system includes over 28 km of coils circulating hot water.",2009,6100eb253a671e6970209ec5
"Michael Green Architecture
DLR Group","warm
inviting
lumber
pioneer","Structure: Timber Frame
modern interpretation
state of the art
environmental performance
technical capability
warm
inviting
lumber
pioneer","Minneapolis, US","wood
steel","modern interpretation
state of the art
environmental performance
technical capability","commercial
retail",T3,Contemporary,"When Hines approached MGA with this exciting project they envisioned T3 as a unique model of new-office building; an opportunity to offer a modern interpretation of the robust character of historic wood, brick, stone, and steel buildings with the additional benefits of state of the art amenities, environmental performance, and technical capability.
The design objective for T3 was to build on the character of the past with a modern perspective. As businesses look to new competitive models for attracting staff, the goal for T3 was to provide a warm and inviting environment that would attract and retain employers and employees.
T3, which stands for ‘Timber, Technology, Transit’, offers 224,000 square feet of office and retail space. Over 3,600 cubic meters of exposed mass timber columns, beams, and floor slabs recall the heavy timber construction of the building’s predecessors. T3’s modern technological approach uses engineered wood components (chiefly glulam and nail laminated timber) for the roof, floors, columns and beams, and furniture. A significant amount of the lumber used to fabricate the NLT comes from trees killed by the mountain pine beetle. These modern materials bring the warmth and beauty of wood to the interior, and promote a healthy indoor environment for occupants.
As a result of its wood structure, T3 was erected at a speed exceeding conventional steel-framed or concrete buildings. In less than 10 weeks, 180,000 square feet of timber framing went up, averaging 30,000 square feet of floor area installed per week. It is also lighter than comparable steel or concrete structures, reducing the depth and extent of excavation and foundations. Additionally, the embodied carbon in the building’s wood structural system is lower than that found in conventional buildings found throughout most of downtown Minneapolis and the North Loop.
The building’s aesthetic success can also be attributed to the mass timber construction. Candice Nichol, MGA Associate and T3 Project Lead, says “the texture of the exposed NLT is quite beautiful. The small imperfections in the lumber and slight variation in color of the mountain pine beetle wood only add to the warmth and character of the new space.”  Extensive exterior glazing at every level as well as views into the ground level social workspace with wood furniture, booths, and a feature stair, allow the public to experience the building.
The use of wood is celebrated throughout the building. “The entire timber structure of T3 was intentionally left exposed and illuminated with interior lighting directed up to the ceiling,” Nichol says. At night, “the illuminated wood will glow through the exterior openings.”
T3 is currently the largest completed mass timber building in the U.S. With changing building codes throughout North America, tall wood buildings will become more common. A pioneer in this building type, T3 has broken new ground and is perhaps a prototype for future commercial mass timber buildings.",2016,6100eb253a671e6970209ecf
